ORTHO_ID	CA_gene	CG_gene
ORTHO_004425	LOC128163609	LOC109619524
ORTHO_004426	LOC128163610	LOC117683867
ORTHO_004427	LOC128163611	LOC105334000
ORTHO_004428	LOC128163612	LOC105327094
ORTHO_004429	LOC128163613	LOC136272472
ORTHO_004430	LOC128163614	LOC105334474
ORTHO_004431	LOC128163615	LOC105334467
ORTHO_004432	LOC128163618	LOC105328869
ORTHO_004433	LOC128163619	LOC105347762
ORTHO_004434	LOC128163616	LOC105342693
ORTHO_004435	LOC128163620	LOC105347790
ORTHO_004436	LOC128163621	LOC136272110
ORTHO_004437	LOC128163629	LOC105317877
ORTHO_004438	LOC128163633	LOC105325549
ORTHO_004439	LOC128163634	LOC105331519
ORTHO_004440	LOC128163635	LOC117686569
ORTHO_004441	LOC128163647	LOC136272516
ORTHO_004442	LOC128163648	LOC117683550
ORTHO_004443	LOC128163649	LOC105346236
ORTHO_004444	LOC128163650	LOC105336759
ORTHO_004445	LOC128163653	LOC117683584
ORTHO_004446	LOC128163651	LOC109620405
ORTHO_004447	LOC128163655	LOC105327705
ORTHO_004448	LOC128163660	LOC105342982
ORTHO_004449	LOC128163665	LOC105344159
ORTHO_004450	LOC128163666	LOC105344146
ORTHO_004451	LOC128163667	LOC105342460
ORTHO_004452	LOC128163670	LOC105328603
ORTHO_004453	LOC128163671	LOC105328598
ORTHO_004454	LOC128163672	LOC105339589
ORTHO_004455	LOC128163673	LOC105345520
ORTHO_004456	LOC128163674	LOC105324180
ORTHO_004457	LOC128163675	LOC105346045
ORTHO_004458	LOC128163678	LOC117683757
ORTHO_004459	LOC128163681	LOC105339413
ORTHO_004460	LOC128163683	LOC117692389
ORTHO_004461	LOC128163687	LOC136272199
ORTHO_004462	LOC128163692	LOC105334007
ORTHO_004463	LOC128163693	LOC109618110
ORTHO_004464	LOC128163695	LOC105348249
ORTHO_004465	LOC128163696	LOC105336758
ORTHO_004466	LOC128163697	LOC105336936
ORTHO_004467	LOC128163698	LOC105336169
ORTHO_004468	LOC128163694	LOC105338580
ORTHO_004469	LOC128163704	LOC136271579
ORTHO_004470	LOC128163705	LOC136272759
ORTHO_004471	LOC128163706	LOC105328715
ORTHO_004472	LOC128163716	LOC136272217
ORTHO_004473	LOC128163690	LOC105323173
ORTHO_004474	LOC128163713	LOC105319544
ORTHO_004475	LOC128163720	LOC105318527
ORTHO_004476	LOC128163721	LOC105334539
ORTHO_004477	LOC128163725	LOC105339290
ORTHO_004478	LOC128163722	LOC105335192
ORTHO_004479	LOC128163726	LOC105329388
ORTHO_004480	LOC128163727	LOC105324191
ORTHO_004481	LOC128163730	LOC105318777
ORTHO_004482	LOC128163731	LOC105318776
ORTHO_004483	LOC128163733	LOC105338091
ORTHO_004484	LOC128163737	LOC105336424
ORTHO_004485	LOC128163739	LOC105348400
ORTHO_004486	LOC128163741	LOC117686554
ORTHO_004487	LOC128163742	LOC105333028
ORTHO_004488	LOC128163743	LOC105339525
ORTHO_004489	LOC128163745	LOC105341745
ORTHO_004490	LOC128163744	LOC105336161
ORTHO_004491	LOC128163748	LOC105335289
ORTHO_004492	LOC128163750	LOC105333790
ORTHO_004493	LOC128163752	LOC105317726
ORTHO_004494	LOC128163754	LOC105346542
ORTHO_004495	LOC128163758	LOC105333688
ORTHO_004496	LOC128163759	LOC105344765
ORTHO_004497	LOC128163761	LOC105335644
ORTHO_004498	LOC128163762	LOC105326754
ORTHO_004499	LOC128163763	LOC117683825
ORTHO_004500	LOC128163764	LOC105331528
ORTHO_004501	LOC128163765	LOC136272154
ORTHO_004502	LOC128163769	LOC117683539
ORTHO_004503	LOC128163771	LOC105348159
ORTHO_004504	LOC128163772	LOC105339526
ORTHO_004505	LOC128163775	LOC105333102
ORTHO_004506	LOC128163776	LOC105328971
ORTHO_004507	LOC128163778	LOC105344790
ORTHO_004508	LOC128163779	LOC105336748
ORTHO_004509	LOC128163780	LOC105343537
ORTHO_004510	LOC128163782	LOC105317861
ORTHO_004511	LOC128163783	LOC105326197
ORTHO_004512	LOC128163785	LOC105344151
ORTHO_004513	LOC128163787	LOC117683824
ORTHO_004514	LOC128163789	LOC105342415
ORTHO_004515	LOC128163790	LOC105342414
ORTHO_004516	LOC128163791	LOC117680312
ORTHO_004517	LOC128163793	LOC105342419
ORTHO_004518	LOC128163794	LOC105336754
ORTHO_004519	LOC128163795	LOC105320653
ORTHO_004520	LOC128163797	LOC117684086
ORTHO_004521	LOC128163800	LOC136269705
ORTHO_004522	LOC128163799	LOC105336160
ORTHO_004523	LOC128163803	LOC105333606
ORTHO_004524	LOC128163806	LOC117692636
ORTHO_004525	LOC128163810	LOC105324248
ORTHO_004526	LOC128163811	LOC105326980
ORTHO_004527	LOC128163813	LOC105329081
ORTHO_004528	LOC128163819	LOC136272052
ORTHO_004529	LOC128163821	LOC105333216
ORTHO_004530	LOC128163825	LOC105339660
ORTHO_004531	LOC128163831	LOC105318087
ORTHO_004532	LOC128163833	LOC105339661
ORTHO_004533	LOC128163840	LOC105336757
ORTHO_004534	LOC128163841	LOC105342983
ORTHO_004535	LOC128163842	LOC105343383
ORTHO_004536	LOC128163843	LOC136272015
ORTHO_004537	LOC128163845	LOC105317731
ORTHO_004538	LOC128163847	LOC105326196
ORTHO_004539	LOC128163848	LOC105321169
ORTHO_004540	LOC128163850	LOC105337722
ORTHO_004541	LOC128163851	LOC136272490
ORTHO_004542	LOC128163855	LOC105348384
ORTHO_004543	LOC128163852	LOC105319547
ORTHO_004544	LOC128163859	LOC105348385
ORTHO_004545	LOC128163860	LOC105330818
ORTHO_004546	LOC128163861	LOC105344182
ORTHO_004547	LOC128163862	LOC105334174
ORTHO_004548	LOC128163871	LOC105327910
ORTHO_004549	LOC128163873	LOC105329084
ORTHO_004550	LOC128163876	LOC105341120
ORTHO_004551	LOC128163877	LOC105341121
ORTHO_004552	LOC128163878	LOC136272142
ORTHO_004553	LOC128163875	LOC105334173
ORTHO_004554	LOC128163880	LOC105331994
ORTHO_004555	LOC128163881	LOC105327897
ORTHO_004556	LOC128163887	LOC105345740
ORTHO_004557	LOC128163891	LOC117683546
ORTHO_004558	LOC128163893	LOC105332003
ORTHO_004559	LOC128163865	LOC105331235
ORTHO_004560	LOC128163898	LOC105320490
ORTHO_004561	LOC128163899	LOC109619522
ORTHO_004562	LOC128163902	LOC105341124
ORTHO_004563	LOC128163904	LOC105317874
ORTHO_004564	LOC128163906	LOC105339995
ORTHO_004565	LOC128163910	LOC105328320
ORTHO_004566	LOC128163911	LOC105320535
ORTHO_004567	LOC128163912	LOC105347499
ORTHO_004568	LOC128163914	LOC105347497
ORTHO_004569	LOC128163915	LOC105347500
ORTHO_004570	LOC128163917	LOC105334533
ORTHO_004571	LOC128163919	LOC105346806
ORTHO_004572	LOC128163918	LOC105344955
ORTHO_004573	LOC128163920	LOC117686593
ORTHO_004574	LOC128163922	LOC105334087
ORTHO_004575	LOC128163924	LOC105317178
ORTHO_004576	LOC128163925	LOC105334483
ORTHO_004577	LOC128163927	LOC105331537
ORTHO_004578	LOC128163929	LOC105337831
ORTHO_004579	LOC128163926	LOC105344958
ORTHO_004580	LOC128163930	LOC105324360
ORTHO_004581	LOC128163932	LOC105334246
ORTHO_004582	LOC128163934	LOC105334831
ORTHO_004583	LOC128163935	LOC117683556
ORTHO_004584	LOC128163937	LOC136269584
ORTHO_004585	LOC128163936	LOC105344957
ORTHO_004586	LOC128163942	LOC105320644
ORTHO_004587	LOC128163943	LOC105320642
ORTHO_004588	LOC128163944	LOC105322837
ORTHO_004589	LOC128163946	LOC105335839
ORTHO_004590	LOC128163947	LOC105335838
ORTHO_004591	LOC128163948	LOC136272484
ORTHO_004592	LOC128163949	LOC117683779
ORTHO_004593	LOC128163950	LOC105320669
ORTHO_004594	LOC128163953	LOC105322866
ORTHO_004595	LOC128163951	LOC117680999
ORTHO_004596	LOC128163956	LOC105317104
ORTHO_004597	LOC128163957	LOC105317080
ORTHO_004598	LOC128163958	LOC136274037
ORTHO_004599	LOC128163960	LOC136272369
ORTHO_004600	LOC128163962	LOC105348265
ORTHO_004601	LOC128163961	LOC105333450
ORTHO_004602	LOC128163963	LOC105324148
ORTHO_004603	LOC128163965	LOC105345279
ORTHO_004604	LOC128163966	LOC105324376
ORTHO_004605	LOC128163967	LOC117683793
ORTHO_004606	LOC128163969	LOC105320882
ORTHO_004607	LOC128163978	LOC136272101
ORTHO_004608	LOC128163980	LOC105344147
ORTHO_004609	LOC128163983	LOC105320491
ORTHO_004610	LOC128163984	LOC105327389
ORTHO_004611	LOC128163985	LOC105317128
ORTHO_004612	LOC128163986	LOC105319875
ORTHO_004613	LOC128163987	LOC136272263
ORTHO_004614	LOC128163988	LOC105349063
ORTHO_004615	LOC128163993	LOC105345530
ORTHO_004616	LOC128163990	LOC105323253
ORTHO_004617	LOC128163994	LOC136272285
ORTHO_004618	LOC128163995	LOC117683452
ORTHO_004619	LOC128163996	LOC105342382
ORTHO_004620	LOC128163998	LOC105335950
ORTHO_004621	LOC128163999	LOC105335645
ORTHO_004622	LOC128164001	LOC117683635
ORTHO_004623	LOC128164002	LOC105334536
ORTHO_004624	LOC128164004	LOC117683432
ORTHO_004625	LOC128164005	LOC136274639
ORTHO_004626	LOC128164010	LOC117691516
ORTHO_004627	LOC128164011	LOC105342976
ORTHO_004628	LOC128164012	LOC105343045
ORTHO_004629	LOC128164013	LOC105320284
ORTHO_004630	LOC128164015	LOC105320287
ORTHO_004631	LOC128164016	LOC105320292
ORTHO_004632	LOC128164019	LOC105320120
ORTHO_004633	LOC128164020	LOC105342756
ORTHO_004634	LOC128164021	LOC105320285
ORTHO_004635	LOC128164024	LOC105320291
ORTHO_004636	LOC128164025	LOC105320119
ORTHO_004637	LOC128164022	LOC109618365
ORTHO_004638	LOC128164026	LOC105339034
ORTHO_004639	LOC128164028	LOC105320290
ORTHO_004640	LOC128164029	LOC105320286
ORTHO_004641	LOC128164031	LOC117683870
ORTHO_004642	LOC128164036	LOC117683537
ORTHO_004643	LOC128164038	LOC105332324
ORTHO_004644	LOC128164040	LOC136271976
ORTHO_004645	LOC128164041	LOC105340766
ORTHO_004646	LOC128164042	LOC117683923
ORTHO_004647	LOC128164014	LOC105317487
ORTHO_004648	LOC128164043	LOC105329355
ORTHO_004649	LOC128164044	LOC117683545
ORTHO_004650	LOC128164046	LOC105345130
ORTHO_004651	LOC128164051	LOC105330886
ORTHO_004652	LOC128164052	LOC105337403
ORTHO_004653	LOC128164055	LOC105341711
ORTHO_004654	LOC128164058	LOC105344154
ORTHO_004655	LOC128164060	LOC105331213
ORTHO_004656	LOC128164057	LOC105329895
ORTHO_004657	LOC128164061	LOC105320668
ORTHO_004658	LOC128164062	LOC105347716
ORTHO_004659	LOC128164064	LOC105337784
ORTHO_004660	LOC128164065	LOC105341744
ORTHO_004661	LOC128164063	LOC105342450
ORTHO_004662	LOC128164067	LOC105342440
ORTHO_004663	LOC128164068	LOC105325548
ORTHO_004664	LOC128164069	LOC105333995
ORTHO_004665	LOC128164071	LOC105330036
ORTHO_004666	LOC128164072	LOC105334839
ORTHO_004667	LOC128164074	LOC105334838
ORTHO_004668	LOC128164073	LOC105342477
ORTHO_004669	LOC128164075	LOC105334840
ORTHO_004670	LOC128164079	LOC105333092
ORTHO_004671	LOC128164080	LOC117684022
ORTHO_004672	LOC128164082	LOC105319173
ORTHO_004673	LOC128164085	LOC105339415
ORTHO_004674	LOC128164086	LOC105339414
ORTHO_004675	LOC128164087	LOC105325402
ORTHO_004676	LOC128164091	LOC136272144
ORTHO_004677	LOC128164092	LOC117683583
ORTHO_004678	LOC128164095	LOC105344699
ORTHO_004679	LOC128164096	LOC105332533
ORTHO_004680	LOC128164098	LOC105340499
ORTHO_004681	LOC128164097	LOC105319172
ORTHO_004682	LOC128164100	LOC109618550
ORTHO_004683	LOC128164101	LOC105342911
ORTHO_004684	LOC128164102	LOC105342910
ORTHO_004685	LOC128164103	LOC105348274
ORTHO_004686	LOC128164104	LOC105326625
ORTHO_004687	LOC128164105	LOC105344426
ORTHO_004688	LOC128164109	LOC117684032
ORTHO_004689	LOC128164112	LOC117683742
ORTHO_004690	LOC128164114	LOC105344421
ORTHO_004691	LOC128164116	LOC105342907
ORTHO_004692	LOC128164117	LOC105340456
ORTHO_004693	LOC128164119	LOC105340500
ORTHO_004694	LOC128164121	LOC105342908
ORTHO_004695	LOC128164118	LOC105342662
ORTHO_004696	LOC128164122	LOC105340501
ORTHO_004697	LOC128164099	LOC105323191
ORTHO_004698	LOC128164125	LOC105334242
ORTHO_004699	LOC128164130	LOC105333086
ORTHO_004700	LOC128164132	LOC109619353
ORTHO_004701	LOC128164134	LOC136272031
ORTHO_004702	LOC128164139	LOC105337292
ORTHO_004703	LOC128164144	LOC105337516
ORTHO_004704	LOC128164149	LOC105343535
ORTHO_004705	LOC128164150	LOC105342749
ORTHO_004706	LOC128164151	LOC105337720
ORTHO_004707	LOC128164152	LOC105337719
ORTHO_004708	LOC128164136	LOC105342666
ORTHO_004709	LOC128164161	LOC105344157
ORTHO_004710	LOC128164162	LOC105344142
ORTHO_004711	LOC128164160	LOC105342668
ORTHO_004712	LOC128164163	LOC117683516
ORTHO_004713	LOC128164164	LOC105344141
ORTHO_004714	LOC128164168	LOC105328967
ORTHO_004715	LOC128164169	LOC105328969
ORTHO_004716	LOC128164172	LOC117683904
ORTHO_004717	LOC128164173	LOC105346238
ORTHO_004718	LOC128164176	LOC105331995
ORTHO_004719	LOC128164174	LOC105342669
ORTHO_004720	LOC128164177	LOC105328991
ORTHO_004721	LOC128164179	LOC117686566
ORTHO_004722	LOC128164180	LOC105332963
ORTHO_004723	LOC128164181	LOC105333054
ORTHO_004724	LOC128164185	LOC117684095
ORTHO_004725	LOC128164183	Myd88-2
ORTHO_004726	LOC128164188	LOC117683709
ORTHO_004727	LOC128164190	LOC117683702
ORTHO_004728	LOC128164191	LOC117690991
ORTHO_004729	LOC128164189	LOC105345081
ORTHO_004730	LOC128164193	LOC136272470
ORTHO_004731	LOC128164198	LOC105334244
ORTHO_004732	LOC128164199	LOC105333037
ORTHO_004733	LOC128164203	LOC105325688
ORTHO_004734	LOC128164204	LOC105348845
ORTHO_004735	LOC128164209	LOC105325401
ORTHO_004736	LOC128164210	LOC105324007
ORTHO_004737	LOC128164212	LOC105324980
ORTHO_004738	LOC128164213	LOC117683718
ORTHO_004739	LOC128164215	LOC105337413
ORTHO_004740	LOC128164217	LOC105337404
ORTHO_004741	LOC128164216	LOC105342663
ORTHO_004742	LOC128164219	LOC117683717
ORTHO_004743	LOC128164220	LOC136272200
ORTHO_004744	LOC128164221	LOC105333603
ORTHO_004745	LOC128164223	Myd88
ORTHO_004746	LOC128164225	LOC105333602
ORTHO_004747	LOC128164226	LOC105333601
ORTHO_004748	LOC128164228	LOC109619000
ORTHO_004749	LOC128164230	LOC105335962
ORTHO_004750	LOC128164231	LOC105335963
ORTHO_004751	LOC128164232	LOC117683841
ORTHO_004752	LOC128164233	LOC105342713
ORTHO_004753	LOC128164234	LOC105325038
ORTHO_004754	LOC128164236	LOC105325046
ORTHO_004755	LOC128164237	LOC136272438
ORTHO_004756	LOC128164238	LOC105335953
ORTHO_004757	LOC128164235	LOC136275257
ORTHO_004758	LOC128164239	LOC117683577
ORTHO_004759	LOC128164240	LOC105330815
ORTHO_004760	LOC128164242	LOC105317444
ORTHO_004761	LOC128164243	LOC105317862
ORTHO_004762	LOC128164244	LOC136272027
ORTHO_004763	LOC128164245	LOC105330885
ORTHO_004764	LOC128164246	LOC105345527
ORTHO_004765	LOC128164247	LOC105345525
ORTHO_004766	LOC128164248	LOC117686670
ORTHO_004767	LOC128164252	LOC105324359
ORTHO_004768	LOC128164253	LOC105345534
ORTHO_004769	LOC128164254	LOC105317453
ORTHO_004770	LOC128164255	LOC105337306
ORTHO_004771	LOC128164256	LOC105337085
ORTHO_004772	LOC128164259	LOC117683930
ORTHO_004773	LOC128164267	LOC105320473
ORTHO_004774	LOC128164265	LOC136270227
ORTHO_004775	LOC128164270	LOC105335972
ORTHO_004776	LOC128164271	LOC105327703
ORTHO_004777	LOC128164276	LOC105337408
ORTHO_004778	LOC128164280	LOC105341122
ORTHO_004779	LOC128164281	LOC136272326
ORTHO_004780	LOC128164282	LOC117684023
ORTHO_004781	LOC128164283	LOC105335223
ORTHO_004782	LOC128164284	LOC105328613
ORTHO_004783	LOC128164286	LOC105345519
ORTHO_004784	LOC128164287	LOC105317612
ORTHO_004785	LOC128164289	LOC105317630
ORTHO_004786	LOC128164291	LOC105345795
ORTHO_004787	LOC128164294	LOC105320971
ORTHO_004788	LOC128164292	LOC105342667
ORTHO_004789	LOC128164296	LOC105337399
ORTHO_004790	LOC128164298	LOC105333550
ORTHO_004791	LOC128164299	LOC105347864
ORTHO_004792	LOC128164300	LOC105324172
ORTHO_004793	LOC128164301	LOC105344757
ORTHO_004794	LOC128164302	LOC105332842
ORTHO_004795	LOC128164303	LOC117680480
ORTHO_004796	LOC128164304	LOC105329354
ORTHO_004797	LOC128164306	LOC105322492
ORTHO_004798	LOC128164307	LOC105322493
ORTHO_004799	LOC128164309	LOC105337519
ORTHO_004800	LOC128164310	LOC105327692
ORTHO_004801	LOC128164305	LOC105323406
ORTHO_004802	LOC128164312	LOC105333018
ORTHO_004803	LOC128164313	LOC109617313
ORTHO_004804	LOC128164316	LOC105318810
ORTHO_004805	LOC128164317	LOC105335974
ORTHO_004806	LOC128164319	LOC105333026
ORTHO_004807	LOC128164321	LOC105345744
ORTHO_004808	LOC128164327	LOC105319442
ORTHO_004809	LOC128164328	LOC105318811
ORTHO_004810	LOC128164331	LOC105345129
ORTHO_004811	LOC128164333	LOC105342766
ORTHO_004812	LOC128164334	LOC105330881
ORTHO_004813	LOC128164335	LOC105344152
ORTHO_004814	LOC128164339	LOC105336931
ORTHO_004815	LOC128164341	LOC105319765
ORTHO_004816	LOC128164340	LOC105342661
ORTHO_004817	LOC128164345	LOC136272640
ORTHO_004818	LOC128164346	LOC105332709
ORTHO_004819	LOC128164347	LOC117683477
ORTHO_004820	LOC128164351	LOC105324977
ORTHO_004821	LOC128164352	LOC105324979
ORTHO_004822	LOC128164354	LOC105324978
ORTHO_004823	LOC128164353	LOC105336351
ORTHO_004824	LOC128164357	LOC105336055
ORTHO_004825	LOC128164359	LOC109618846
ORTHO_004826	LOC128164361	LOC105346734
ORTHO_004827	LOC128164364	Melanopsin
ORTHO_004828	LOC128164365	LOC105337039
ORTHO_004829	LOC128164367	LOC136273721
ORTHO_004830	LOC128164368	LOC105325661
ORTHO_004831	LOC128164369	LOC109618293
ORTHO_004832	LOC128164366	LOC105339768
ORTHO_004833	LOC128164370	LOC105346543
ORTHO_004834	LOC128164371	LOC105325659
ORTHO_004835	LOC128164372	LOC105325544
ORTHO_004836	LOC128164376	LOC105341799
ORTHO_004837	LOC128164385	LOC105328822
ORTHO_004838	LOC128164386	LOC105330309
ORTHO_004839	LOC128164388	LOC105328939
ORTHO_004840	LOC128164389	LOC105329746
ORTHO_004841	LOC128164390	LOC105345774
ORTHO_004842	LOC128164358	LOC105326392
ORTHO_004843	LOC128164392	LOC109619593
ORTHO_004844	LOC128164391	LOC105341800
ORTHO_004845	LOC128164393	LOC105325127
ORTHO_004846	LOC128164394	LOC105337425
ORTHO_004847	LOC128164395	LOC105341219
ORTHO_004848	LOC128164399	LOC136269452
ORTHO_004849	LOC128164400	LOC105341214
ORTHO_004850	LOC128164401	LOC105332591
ORTHO_004851	LOC128164402	LOC105323502
ORTHO_004852	LOC128164404	LOC105321614
ORTHO_004853	LOC128164406	LOC105319189
ORTHO_004854	LOC128164407	LOC105340657
ORTHO_004855	LOC128164411	LOC136270076
ORTHO_004856	LOC128164417	LOC105347061
ORTHO_004857	LOC128164418	LOC105347062
ORTHO_004858	LOC128164419	LOC105345968
ORTHO_004859	LOC128164420	LOC105336652
ORTHO_004860	LOC128164421	LOC105336654
ORTHO_004861	LOC128164422	LOC109618884
ORTHO_004862	LOC128164428	LOC105344825
ORTHO_004863	LOC128164429	LOC105348726
ORTHO_004864	LOC128164430	LOC105344823
ORTHO_004865	LOC128164431	LOC105344824
ORTHO_004866	LOC128164432	LOC105344826
ORTHO_004867	LOC128164434	LOC117684904
ORTHO_004868	LOC128164435	LOC105332581
ORTHO_004869	LOC128164437	LOC105332580
ORTHO_004870	LOC128164436	LOC105339978
ORTHO_004871	LOC128164446	LOC105339173
ORTHO_004872	LOC128164448	LOC105327595
ORTHO_004873	LOC128164449	LOC105320683
ORTHO_004874	LOC128164450	LOC117684788
ORTHO_004875	LOC128164442	LOC105317917
ORTHO_004876	LOC128164451	LOC105331541
ORTHO_004877	LOC128164452	LOC105331539
ORTHO_004878	LOC128164453	LOC105331540
ORTHO_004879	LOC128164456	LOC105336644
ORTHO_004880	LOC128164457	LOC105322168
ORTHO_004881	LOC128164459	LOC105322218
ORTHO_004882	LOC128164461	LOC105319193
ORTHO_004883	LOC128164462	LOC105331727
ORTHO_004884	LOC128164463	LOC105332352
ORTHO_004885	LOC128164465	LOC105329615
ORTHO_004886	LOC128164467	LOC105329631
ORTHO_004887	LOC128164468	LOC105329616
ORTHO_004888	LOC128164472	LOC117684275
ORTHO_004889	LOC128164466	LOC105344858
ORTHO_004890	LOC128164474	LOC105329620
ORTHO_004891	LOC128164475	LOC105349038
ORTHO_004892	LOC128164476	LOC105334015
ORTHO_004893	LOC128164477	LOC105346197
ORTHO_004894	LOC128164478	LOC105346182
ORTHO_004895	LOC128164479	LOC105346184
ORTHO_004896	LOC128164483	LOC105344806
ORTHO_004897	LOC128164484	LOC136270147
ORTHO_004898	LOC128164485	LOC105347411
ORTHO_004899	LOC128164486	LOC105347409
ORTHO_004900	LOC128164487	LOC105347410
ORTHO_004901	LOC128164489	LOC105345841
ORTHO_004902	LOC128164490	LOC105347417
ORTHO_004903	LOC128164491	LOC105347415
ORTHO_004904	LOC128164492	LOC105347418
ORTHO_004905	LOC128164493	LOC105326643
ORTHO_004906	LOC128164494	LOC105326642
ORTHO_004907	LOC128164495	LOC105326644
ORTHO_004908	LOC128164496	LOC105345448
ORTHO_004909	LOC128164497	LOC105345447
ORTHO_004910	LOC128164498	LOC105345228
ORTHO_004911	LOC128164499	LOC109620852
ORTHO_004912	LOC128164500	LOC105336329
ORTHO_004913	LOC128164502	LOC105343617
ORTHO_004914	LOC128164503	LOC117689929
ORTHO_004915	LOC128164504	LOC105332200
ORTHO_004916	LOC128164506	LOC105321188
ORTHO_004917	LOC128164507	LOC105320999
ORTHO_004918	LOC128164509	LOC117684381
ORTHO_004919	LOC128164510	LOC105334217
ORTHO_004920	LOC128164511	LOC117684540
ORTHO_004921	LOC128164512	LOC117684467
ORTHO_004922	LOC128164513	LOC105345949
ORTHO_004923	LOC128164514	LOC105334113
ORTHO_004924	LOC128164515	LOC105347348
ORTHO_004925	LOC128164516	LOC105347350
ORTHO_004926	LOC128164517	LOC105347352
ORTHO_004927	LOC128164518	LOC105334791
ORTHO_004928	LOC128164519	LOC109617261
ORTHO_004929	LOC128164521	LOC105323519
ORTHO_004930	LOC128164522	LOC105327443
ORTHO_004931	LOC128164523	LOC105332996
ORTHO_004932	LOC128164526	LOC105329111
ORTHO_004933	LOC128164528	LOC117684891
ORTHO_004934	LOC128164530	LOC105340249
ORTHO_004935	LOC128164527	LOC105348215
ORTHO_004936	LOC128164531	LOC105335560
ORTHO_004937	LOC128164532	LOC105335517
ORTHO_004938	LOC128164533	LOC105346802
ORTHO_004939	LOC128164535	LOC105331560
ORTHO_004940	LOC128164536	LOC105326143
ORTHO_004941	LOC128164540	LOC117684228
ORTHO_004942	LOC128164541	LOC136276704
ORTHO_004943	LOC128164542	LOC105334788
ORTHO_004944	LOC128164546	LOC117684968
ORTHO_004945	LOC128164548	LOC117684590
ORTHO_004946	LOC128164543	LOC105337358
ORTHO_004947	LOC128164552	LOC105341013
ORTHO_004948	LOC128164556	LOC105341016
ORTHO_004949	LOC128164557	LOC105341014
ORTHO_004950	LOC128164558	LOC105341015
ORTHO_004951	LOC128164560	LOC105341017
ORTHO_004952	LOC128164569	LOC105331377
ORTHO_004953	LOC128164570	LOC109620337
ORTHO_004954	LOC128164571	LOC105347201
ORTHO_004955	LOC128164572	LOC105347200
ORTHO_004956	LOC128164574	LOC105325103
ORTHO_004957	LOC128164573	LOC105334580
ORTHO_004958	LOC128164576	LOC105344799
ORTHO_004959	LOC128164577	LOC105344800
ORTHO_004960	LOC128164578	LOC105344803
ORTHO_004961	LOC128164580	LOC105344801
ORTHO_004962	LOC128164581	LOC105344802
ORTHO_004963	LOC128164579	LOC105345334
ORTHO_004964	LOC128164584	LOC105317390
ORTHO_004965	LOC128164586	LOC105317391
ORTHO_004966	LOC128164589	LOC105317392
ORTHO_004967	LOC128164590	LOC105317389
ORTHO_004968	LOC128164592	LOC105335066
ORTHO_004969	LOC128164593	LOC105338271
ORTHO_004970	LOC128164597	LOC105345488
ORTHO_004971	LOC128164600	LOC105329265
ORTHO_004972	LOC128164601	LOC105343861
ORTHO_004973	LOC128164603	LOC105331397
ORTHO_004974	LOC128164602	LOC105346146
ORTHO_004975	LOC128164607	LOC105340318
ORTHO_004976	LOC128164608	LOC105340317
ORTHO_004977	LOC128164609	LOC136270084
ORTHO_004978	LOC128164610	LOC109618439
ORTHO_004979	LOC128164612	LOC105342068
ORTHO_004980	LOC128164613	LOC105328821
ORTHO_004981	LOC128164614	LOC105342067
ORTHO_004982	LOC128164616	LOC105331163
ORTHO_004983	LOC128164617	LOC105318404
ORTHO_004984	LOC128164618	LOC105328610
ORTHO_004985	LOC128164619	LOC105326160
ORTHO_004986	LOC128164620	LOC117684856
ORTHO_004987	LOC128164622	LOC105326154
ORTHO_004988	LOC128164626	LOC105322967
ORTHO_004989	LOC128164627	LOC105327597
ORTHO_004990	LOC128164628	LOC105329608
ORTHO_004991	LOC128164629	LOC105343799
ORTHO_004992	LOC128164630	LOC105343802
ORTHO_004993	LOC128164631	LOC105343797
ORTHO_004994	LOC128164632	LOC105317541
ORTHO_004995	LOC128164636	LOC117684876
ORTHO_004996	LOC128164638	LOC105338807
ORTHO_004997	LOC128164639	LOC105324729
ORTHO_004998	LOC128164640	LOC105338806
ORTHO_004999	LOC128164641	LOC105321789
ORTHO_005000	LOC128164642	LOC105319896
ORTHO_005001	LOC128164643	LOC105339188
ORTHO_005002	LOC128164644	LOC105338809
ORTHO_005003	LOC128164645	LOC105338178
ORTHO_005004	LOC128164646	LOC105324738
ORTHO_005005	LOC128164647	LOC105338170
ORTHO_005006	LOC128164648	LOC105341975
ORTHO_005007	LOC128164651	LOC105321032
ORTHO_005008	LOC128164652	LOC105324442
ORTHO_005009	LOC128164654	LOC105318512
ORTHO_005010	LOC128164657	LOC105341232
ORTHO_005011	LOC128164658	LOC105341228
ORTHO_005012	LOC128164659	LOC105341231
ORTHO_005013	LOC128164633	LOC105320775
ORTHO_005014	LOC128164661	LOC105341230
ORTHO_005015	LOC128164663	LOC105341229
ORTHO_005016	LOC128164664	LOC105345092
ORTHO_005017	LOC128164666	LOC105345093
ORTHO_005018	LOC128164668	LOC105326043
ORTHO_005019	LOC128164669	LOC105329622
ORTHO_005020	LOC128164671	LOC117684273
ORTHO_005021	LOC128164670	LOC117684155
ORTHO_005022	LOC128164672	LOC105324920
ORTHO_005023	LOC128164673	LOC105324922
ORTHO_005024	LOC128164674	LOC105329621
ORTHO_005025	LOC128164678	LOC105344804
ORTHO_005026	LOC128164681	LOC105342002
ORTHO_005027	LOC128164679	LOC105333081
ORTHO_005028	LOC128164682	LOC105341999
ORTHO_005029	LOC128164683	LOC105342001
ORTHO_005030	LOC128164684	LOC105341998
ORTHO_005031	LOC128164685	LOC105341275
