CAmt|atp6::CM046786.1:9839-10508(+)	CAmt|atp6
CA|XM_052836630.1	LOC128170876
CA|XM_052836631.1	LOC128170877
CA|XM_052836632.1	LOC128170877
CA|XM_052836633.1	LOC128170878
CA|XM_052836634.1	LOC128170851
CA|XM_052836635.1	LOC128170878
CA|XM_052836636.1	LOC128170879
CA|XM_052836637.1	LOC128170880
CA|XM_052836638.1	LOC128170881
CA|XM_052836639.1	LOC128170882
CA|XM_052836640.1	LOC128170883
CA|XM_052836641.1	LOC128170884
CA|XM_052836642.1	LOC128170851
CA|XM_052836643.1	LOC128170886
CA|XM_052836644.1	LOC128170886
CA|XM_052836645.1	LOC128170887
CA|XM_052836646.1	LOC128170889
CA|XM_052836647.1	LOC128170890
CA|XM_052836648.1	LOC128170851
CA|XM_052836649.1	LOC128170891
CA|XM_052836650.1	LOC128170892
CA|XM_052836651.1	LOC128170893
CA|XM_052836652.1	LOC128170895
CA|XM_052836653.1	LOC128170896
CA|XM_052836654.1	LOC128170899
CA|XM_052836655.1	LOC128170900
CA|XM_052836656.1	LOC128170901
CA|XM_052836657.1	LOC128170898
CA|XM_052836658.1	LOC128170905
CA|XM_052836659.1	LOC128170905
CA|XM_052836660.1	LOC128170906
CA|XM_052836661.1	LOC128170898
CA|XM_052836662.1	LOC128170908
CA|XM_052836663.1	LOC128170910
CA|XM_052836664.1	LOC128170912
CA|XM_052836665.1	LOC128170913
CA|XM_052836666.1	LOC128170915
CA|XM_052836667.1	LOC128170916
CA|XM_052836668.1	LOC128170918
CA|XM_052836669.1	LOC128170919
CA|XM_052836670.1	LOC128170920
CA|XM_052836671.1	LOC128170920
CA|XM_052836672.1	LOC128170920
CA|XM_052836673.1	LOC128170920
CA|XM_052836674.1	LOC128170920
CA|XM_052836675.1	LOC128170920
CA|XM_052836676.1	LOC128170921
CA|XM_052836677.1	LOC128170920
CA|XM_052836678.1	LOC128170920
CA|XM_052836679.1	LOC128170920
CA|XM_052836680.1	LOC128170920
CA|XM_052836681.1	LOC128170920
CA|XM_052836682.1	LOC128170920
CA|XM_052836683.1	LOC128170920
CA|XM_052836684.1	LOC128170920
CA|XM_052836685.1	LOC128170920
CA|XM_052836686.1	LOC128170922
CA|XM_052836687.1	LOC128170921
CA|XM_052836688.1	LOC128170923
CA|XM_052836689.1	LOC128170923
CA|XM_052836690.1	LOC128170924
CA|XM_052836691.1	LOC128170925
CA|XM_052836692.1	LOC128170925
CA|XM_052836693.1	LOC128170925
CA|XM_052836694.1	LOC128170925
CA|XM_052836695.1	LOC128170926
CA|XM_052836696.1	LOC128170921
CA|XM_052836697.1	LOC128170928
CA|XM_052836698.1	LOC128170928
CA|XM_052836699.1	LOC128170928
CA|XM_052836700.1	LOC128170928
CA|XM_052836701.1	LOC128170929
CA|XM_052836702.1	LOC128170929
CA|XM_052836703.1	LOC128170930
CA|XM_052836704.1	LOC128170921
CA|XM_052836705.1	LOC128170931
CA|XM_052836706.1	LOC128170932
CA|XM_052836707.1	LOC128170932
CA|XM_052836708.1	LOC128170933
CA|XM_052836709.1	LOC128170933
CA|XM_052836710.1	LOC128170933
CA|XM_052836711.1	LOC128170934
CA|XM_052836712.1	LOC128170934
CA|XM_052836713.1	LOC128170934
CA|XM_052836714.1	LOC128170934
CA|XM_052836715.1	LOC128170935
CA|XM_052836716.1	LOC128170936
CA|XM_052836717.1	LOC128170937
CA|XM_052836718.1	LOC128170938
CA|XM_052836719.1	LOC128170939
CA|XM_052836720.1	LOC128170940
CA|XM_052836721.1	LOC128170921
CA|XM_052836722.1	LOC128170941
CA|XM_052836723.1	LOC128170942
CA|XM_052836724.1	LOC128170942
CA|XM_052836725.1	LOC128170943
CA|XM_052836726.1	LOC128170944
CA|XM_052836727.1	LOC128170945
CA|XM_052836728.1	LOC128170921
CA|XM_052836729.1	LOC128170927
CA|XM_052836730.1	LOC128170954
CA|XM_052836731.1	LOC128170964
CA|XM_052836732.1	LOC128170965
CA|XM_052836733.1	LOC128170966
CA|XM_052836734.1	LOC128170967
CA|XM_052836735.1	LOC128170969
CA|XM_052836736.1	LOC128170970
CA|XM_052836737.1	LOC128170970
CA|XM_052836738.1	LOC128170968
CA|XM_052836739.1	LOC128170972
CA|XM_052836740.1	LOC128170974
CA|XM_052836741.1	LOC128170975
CA|XM_052836742.1	LOC128170975
CA|XM_052836743.1	LOC128170978
CA|XM_052836744.1	LOC128170981
CA|XM_052836745.1	LOC128170982
CA|XM_052836746.1	LOC128170984
CA|XM_052836747.1	LOC128170986
CA|XM_052836748.1	LOC128170987
CA|XM_052836749.1	LOC128170988
CA|XM_052836750.1	LOC128170988
CA|XM_052836751.1	LOC128170990
CA|XM_052836752.1	LOC128170991
CA|XM_052836753.1	LOC128170992
CA|XM_052836754.1	LOC128170992
CA|XM_052836755.1	LOC128170992
CA|XM_052836756.1	LOC128170993
CA|XM_052836757.1	LOC128170993
CA|XM_052836758.1	LOC128170997
CA|XM_052836759.1	LOC128170994
CA|XM_052836760.1	LOC128170998
CA|XM_052836761.1	LOC128170998
CA|XM_052836762.1	LOC128170999
CA|XM_052836763.1	LOC128171000
CA|XM_052836764.1	LOC128171001
CA|XM_052836765.1	LOC128171002
CA|XM_052836766.1	LOC128171003
CA|XM_052836767.1	LOC128170994
CA|XM_052836768.1	LOC128171004
CA|XM_052836769.1	LOC128171005
CA|XM_052836770.1	LOC128171008
CA|XM_052836771.1	LOC128170994
CA|XM_052836772.1	LOC128171010
CA|XM_052836773.1	LOC128171010
CA|XM_052836774.1	LOC128171010
CA|XM_052836775.1	LOC128171010
CA|XM_052836776.1	LOC128171011
CA|XM_052836777.1	LOC128171012
CA|XM_052836778.1	LOC128170994
CA|XM_052836779.1	LOC128171015
CA|XM_052836780.1	LOC128171016
CA|XM_052836781.1	LOC128171017
CA|XM_052836782.1	LOC128171018
CA|XM_052836783.1	LOC128171020
CA|XM_052836784.1	LOC128171023
CA|XM_052836785.1	LOC128171023
CA|XM_052836786.1	LOC128171024
CA|XM_052836787.1	LOC128171022
CA|XM_052836788.1	LOC128171024
CA|XM_052836789.1	LOC128171025
CA|XM_052836790.1	LOC128171026
CA|XM_052836791.1	LOC128171026
CA|XM_052836792.1	LOC128171026
CA|XM_052836793.1	LOC128171027
CA|XM_052836794.1	LOC128171028
CA|XM_052836795.1	LOC128171029
CA|XM_052836796.1	LOC128171031
CA|XM_052836797.1	LOC128171031
CA|XM_052836798.1	LOC128171032
CA|XM_052836799.1	LOC128171032
CA|XM_052836800.1	LOC128171034
CA|XM_052836801.1	LOC128171044
CA|XM_052836802.1	LOC128171044
CA|XM_052836803.1	LOC128171041
CA|XM_052836804.1	LOC128171047
CA|XM_052836805.1	LOC128171047
CA|XM_052836806.1	LOC128171049
CA|XM_052836807.1	LOC128171049
CA|XM_052836808.1	LOC128171049
CA|XM_052836809.1	LOC128171050
CA|XM_052836810.1	LOC128171050
CA|XM_052836811.1	LOC128171050
CA|XM_052836812.1	LOC128171052
CA|XM_052836813.1	LOC128170737
CA|XM_052836814.1	LOC128171021
CA|XM_052836815.1	LOC128171051
CA|XM_052836816.1	LOC128171053
CA|XM_052836817.1	LOC128171054
CA|XM_052836818.1	LOC128171056
CA|XM_052836819.1	LOC128171057
CA|XM_052836820.1	LOC128171058
CA|XM_052836821.1	LOC128171059
CA|XM_052836822.1	LOC128171061
CA|XM_052836823.1	LOC128171062
CA|XM_052836824.1	LOC128171063
CA|XM_052836825.1	LOC128171060
CA|XM_052836826.1	LOC128171064
CA|XM_052836827.1	LOC128171065
CA|XM_052836828.1	LOC128171066
CA|XM_052836829.1	LOC128171074
CA|XM_052836830.1	LOC128171075
CA|XM_052836831.1	LOC128171076
CA|XM_052836832.1	LOC128171077
CA|XM_052836833.1	LOC128171078
CA|XM_052836834.1	LOC128171078
CA|XM_052836835.1	LOC128171078
CA|XM_052836836.1	LOC128171078
CA|XM_052836837.1	LOC128171081
CA|XM_052836838.1	LOC128171083
CA|XM_052836839.1	LOC128171083
CA|XM_052836840.1	LOC128171086
CA|XM_052836841.1	LOC128171088
CA|XM_052836842.1	LOC128171089
CA|XM_052836843.1	LOC128171090
CA|XM_052836844.1	LOC128171092
CA|XM_052836845.1	LOC128171093
CA|XM_052836846.1	LOC128171093
CA|XM_052836847.1	LOC128171093
CA|XM_052836848.1	LOC128171091
CA|XM_052836849.1	LOC128171095
CA|XM_052836850.1	LOC128171098
CA|XM_052836851.1	LOC128171099
CA|XM_052836852.1	LOC128171100
CA|XM_052836853.1	LOC128171091
CA|XM_052836854.1	LOC128171101
CA|XM_052836855.1	LOC128171102
CA|XM_052836856.1	LOC128171104
CA|XM_052836857.1	LOC128171105
CA|XM_052836858.1	LOC128171105
CA|XM_052836859.1	LOC128171106
CA|XM_052836860.1	LOC128171106
CA|XM_052836861.1	LOC128171106
CA|XM_052836862.1	LOC128171106
CA|XM_052836863.1	LOC128171108
CA|XM_052836864.1	LOC128171107
CA|XM_052836865.1	LOC128171111
CA|XM_052836866.1	LOC128171117
CA|XM_052836867.1	LOC128171118
CA|XM_052836868.1	LOC128171021
CA|XM_052836869.1	LOC128171116
CA|XM_052836870.1	LOC128171121
CA|XM_052836871.1	LOC128171123
CA|XM_052836872.1	LOC128171124
CA|XM_052836873.1	LOC128171125
CA|XM_052836874.1	LOC128171116
CA|XM_052836875.1	LOC128171126
CA|XM_052836876.1	LOC128171127
CA|XM_052836877.1	LOC128171128
CA|XM_052836878.1	LOC128171116
CA|XM_052836879.1	LOC128171129
CA|XM_052836880.1	LOC128171130
CA|XM_052836881.1	LOC128171131
CA|XM_052836882.1	LOC128171116
CA|XM_052836883.1	LOC128171116
CA|XM_052836884.1	LOC128171149
CA|XM_052836885.1	LOC128171154
CA|XM_052836886.1	LOC128171116
CA|XM_052836887.1	LOC128171156
CA|XM_052836888.1	LOC128171157
CA|XM_052836889.1	LOC128171158
CA|XM_052836890.1	LOC128171158
CA|XM_052836891.1	LOC128171159
CA|XM_052836892.1	LOC128171159
CA|XM_052836893.1	LOC128171116
CA|XM_052836894.1	LOC128171160
CA|XM_052836895.1	LOC128171161
CA|XM_052836896.1	LOC128171162
CA|XM_052836897.1	LOC128171163
CA|XM_052836898.1	LOC128171164
CA|XM_052836899.1	LOC128171165
CA|XM_052836900.1	LOC128171168
CA|XM_052836901.1	LOC128171169
CA|XM_052836902.1	LOC128171167
CA|XM_052836903.1	LOC128171175
CA|XM_052836904.1	LOC128171176
CA|XM_052836905.1	LOC128171177
CA|XM_052836906.1	LOC128171179
CA|XM_052836907.1	LOC128171180
CA|XM_052836908.1	LOC128171178
CA|XM_052836909.1	LOC128171185
CA|XM_052836910.1	LOC128171186
CA|XM_052836911.1	LOC128171186
CA|XM_052836912.1	LOC128171189
CA|XM_052836913.1	LOC128171192
CA|XM_052836914.1	LOC128171193
CA|XM_052836915.1	LOC128171195
CA|XM_052836916.1	LOC128171191
CA|XM_052836917.1	LOC128171195
CA|XM_052836918.1	LOC128171195
CA|XM_052836919.1	LOC128171195
CA|XM_052836920.1	LOC128171198
CA|XM_052836921.1	LOC128171198
CA|XM_052836922.1	LOC128171198
CA|XM_052836923.1	LOC128171198
CA|XM_052836924.1	LOC128171198
CA|XM_052836925.1	LOC128171198
CA|XM_052836926.1	LOC128171198
CA|XM_052836927.1	LOC128171198
CA|XM_052836928.1	LOC128171198
CA|XM_052836929.1	LOC128171199
CA|XM_052836930.1	LOC128171200
CA|XM_052836931.1	LOC128171200
CA|XM_052836932.1	LOC128171200
CA|XM_052836933.1	LOC128171200
CA|XM_052836934.1	LOC128171201
CA|XM_052836935.1	LOC128171201
CA|XM_052836936.1	LOC128171201
CA|XM_052836937.1	LOC128171199
CA|XM_052836938.1	LOC128171203
CA|XM_052836939.1	LOC128171204
CA|XM_052836940.1	LOC128171204
CA|XM_052836941.1	LOC128171204
CA|XM_052836942.1	LOC128171204
CA|XM_052836943.1	LOC128171205
CA|XM_052836944.1	LOC128171207
CA|XM_052836945.1	LOC128171199
CA|XM_052836946.1	LOC128171207
CA|XM_052836947.1	LOC128171207
CA|XM_052836948.1	LOC128171207
CA|XM_052836949.1	LOC128171207
CA|XM_052836950.1	LOC128171207
CA|XM_052836951.1	LOC128171208
CA|XM_052836952.1	LOC128171209
CA|XM_052836953.1	LOC128171209
CA|XM_052836954.1	LOC128171190
CA|XM_052836955.1	LOC128171199
CA|XM_052836956.1	LOC128171209
CA|XM_052836957.1	LOC128171209
CA|XM_052836958.1	LOC128171210
CA|XM_052836959.1	LOC128171211
CA|XM_052836960.1	LOC128171212
CA|XM_052836961.1	LOC128171213
CA|XM_052836962.1	LOC128171214
CA|XM_052836963.1	LOC128171199
CA|XM_052836964.1	LOC128171217
CA|XM_052836965.1	LOC128171218
CA|XM_052836966.1	LOC128171219
CA|XM_052836967.1	LOC128171220
CA|XM_052836968.1	LOC128171199
CA|XM_052836969.1	LOC128171221
CA|XM_052836970.1	LOC128171222
CA|XM_052836971.1	LOC128171224
CA|XM_052836972.1	LOC128171226
CA|XM_052836973.1	LOC128171227
CA|XM_052836974.1	LOC128171228
CA|XM_052836975.1	LOC128171234
CA|XM_052836976.1	LOC128171235
CA|XM_052836977.1	LOC128171236
CA|XM_052836978.1	LOC128171237
CA|XM_052836979.1	LOC128171240
CA|XM_052836980.1	LOC128171243
CA|XM_052836981.1	LOC128171243
CA|XM_052836982.1	LOC128171243
CA|XM_052836983.1	LOC128171243
CA|XM_052836984.1	LOC128171242
CA|XM_052836985.1	LOC128171243
CA|XM_052836986.1	LOC128171243
CA|XM_052836987.1	LOC128171243
CA|XM_052836988.1	LOC128171243
CA|XM_052836989.1	LOC128171243
CA|XM_052836990.1	LOC128171243
CA|XM_052836991.1	LOC128171243
CA|XM_052836992.1	LOC128171243
CA|XM_052836993.1	LOC128171243
CA|XM_052836994.1	LOC128171247
CA|XM_052836995.1	LOC128171245
CA|XM_052836996.1	LOC128171248
CA|XM_052836997.1	LOC128171248
CA|XM_052836998.1	LOC128171248
CA|XM_052836999.1	LOC128171249
CA|XM_052837000.1	LOC128171249
CA|XM_052837001.1	LOC128171250
CA|XM_052837002.1	LOC128171251
CA|XM_052837003.1	LOC128171252
CA|XM_052837004.1	LOC128171252
CA|XM_052837005.1	LOC128171252
CA|XM_052837006.1	LOC128171252
CA|XM_052837007.1	LOC128171252
CA|XM_052837008.1	LOC128171252
CA|XM_052837009.1	LOC128171252
CA|XM_052837010.1	LOC128171252
CA|XM_052837011.1	LOC128171252
CA|XM_052837012.1	LOC128171254
CA|XM_052837013.1	LOC128171256
CA|XM_052837014.1	LOC128171257
CA|XM_052837015.1	LOC128171260
CA|XM_052837016.1	LOC128171261
CA|XM_052837017.1	LOC128171262
CA|XM_052837018.1	LOC128171262
CA|XM_052837019.1	LOC128171262
CA|XM_052837020.1	LOC128171265
CA|XM_052837021.1	LOC128171265
CA|XM_052837022.1	LOC128171265
CA|XM_052837023.1	LOC128171265
CA|XM_052837024.1	LOC128171265
CA|XM_052837025.1	LOC128171267
CA|XM_052837026.1	LOC128171265
CA|XM_052837027.1	LOC128171268
CA|XM_052837028.1	LOC128171268
CA|XM_052837029.1	LOC128171268
CA|XM_052837030.1	LOC128171268
CA|XM_052837031.1	LOC128171268
CA|XM_052837032.1	LOC128171268
CA|XM_052837033.1	LOC128171268
CA|XM_052837034.1	LOC128171268
CA|XM_052837035.1	LOC128171267
CA|XM_052837036.1	LOC128171269
CA|XM_052837037.1	LOC128171270
CA|XM_052837038.1	LOC128171270
CA|XM_052837039.1	LOC128171271
CA|XM_052837040.1	LOC128171272
CA|XM_052837041.1	LOC128171273
CA|XM_052837042.1	LOC128171274
CA|XM_052837043.1	LOC128171267
CA|XM_052837044.1	LOC128171275
CA|XM_052837045.1	LOC128171276
CA|XM_052837046.1	LOC128171277
CA|XM_052837047.1	LOC128171278
CA|XM_052837048.1	LOC128171279
CA|XM_052837049.1	LOC128171280
CA|XM_052837050.1	LOC128171267
CA|XM_052837051.1	LOC128171282
CA|XM_052837052.1	LOC128171283
CA|XM_052837053.1	LOC128171284
CA|XM_052837054.1	LOC128171284
CA|XM_052837055.1	LOC128171285
CA|XM_052837056.1	LOC128171286
CA|XM_052837057.1	LOC128171267
CA|XM_052837058.1	LOC128171287
CA|XM_052837059.1	LOC128171288
CA|XM_052837060.1	LOC128171289
CA|XM_052837061.1	LOC128171266
CA|XM_052837062.1	LOC128171267
CA|XM_052837063.1	LOC128171296
CA|XM_052837064.1	LOC128171297
CA|XM_052837065.1	LOC128171298
CA|XM_052837066.1	LOC128171298
CA|XM_052837067.1	LOC128171299
CA|XM_052837068.1	LOC128171299
CA|XM_052837069.1	LOC128171299
CA|XM_052837070.1	LOC128171267
CA|XM_052837071.1	LOC128171299
CA|XM_052837072.1	LOC128171301
CA|XM_052837073.1	LOC128171267
CA|XM_052837074.1	LOC128171307
CA|XM_052837075.1	LOC128171308
CA|XM_052837076.1	LOC128171310
CA|XM_052837077.1	LOC128171311
CA|XM_052837078.1	LOC128171267
CA|XM_052837079.1	LOC128171314
CA|XM_052837080.1	LOC128171315
CA|XM_052837081.1	LOC128171315
CA|XM_052837082.1	LOC128171315
CA|XM_052837083.1	LOC128171315
CA|XM_052837084.1	LOC128171315
CA|XM_052837085.1	LOC128171316
CA|XM_052837086.1	LOC128171267
CA|XM_052837087.1	LOC128171317
CA|XM_052837088.1	LOC128171317
CA|XM_052837089.1	LOC128171317
CA|XM_052837090.1	LOC128171317
CA|XM_052837091.1	LOC128171318
CA|XM_052837092.1	LOC128171319
CA|XM_052837093.1	LOC128171319
CA|XM_052837094.1	LOC128171320
CA|XM_052837095.1	LOC128171267
CA|XM_052837096.1	LOC128171321
CA|XM_052837097.1	LOC128171326
CA|XM_052837098.1	LOC128171328
CA|XM_052837099.1	LOC128171267
CA|XM_052837100.1	LOC128171329
CA|XM_052837101.1	LOC128171330
CA|XM_052837102.1	LOC128171331
CA|XM_052837103.1	LOC128171332
CA|XM_052837104.1	LOC128171334
CA|XM_052837105.1	LOC128171267
CA|XM_052837106.1	LOC128171336
CA|XM_052837107.1	LOC128171338
CA|XM_052837108.1	LOC128171339
CA|XM_052837109.1	LOC128171267
CA|XM_052837110.1	LOC128171348
CA|XM_052837111.1	LOC128171349
CA|XM_052837112.1	LOC128171267
CA|XM_052837113.1	LOC128171350
CA|XM_052837114.1	LOC128171353
CA|XM_052837115.1	LOC128171353
CA|XM_052837116.1	LOC128171353
CA|XM_052837117.1	LOC128171353
CA|XM_052837118.1	LOC128171353
CA|XM_052837119.1	LOC128171353
CA|XM_052837120.1	LOC128171267
CA|XM_052837121.1	LOC128171353
CA|XM_052837122.1	LOC128171353
CA|XM_052837123.1	LOC128171353
CA|XM_052837124.1	LOC128171353
CA|XM_052837125.1	LOC128171353
CA|XM_052837126.1	LOC128171353
CA|XM_052837127.1	LOC128171353
CA|XM_052837128.1	LOC128171355
CA|XM_052837129.1	LOC128171356
CA|XM_052837130.1	LOC128171267
CA|XM_052837131.1	LOC128171357
CA|XM_052837132.1	LOC128171357
CA|XM_052837133.1	LOC128171358
CA|XM_052837134.1	LOC128171358
CA|XM_052837135.1	LOC128171358
CA|XM_052837136.1	LOC128171358
CA|XM_052837137.1	LOC128171358
CA|XM_052837138.1	LOC128171359
CA|XM_052837139.1	LOC128171267
CA|XM_052837140.1	LOC128171360
CA|XM_052837141.1	LOC128171362
CA|XM_052837142.1	LOC128171363
CA|XM_052837143.1	LOC128171364
CA|XM_052837144.1	LOC128171364
CA|XM_052837145.1	LOC128171364
CA|XM_052837146.1	LOC128171267
CA|XM_052837147.1	LOC128171367
CA|XM_052837148.1	LOC128171367
CA|XM_052837149.1	LOC128171267
CA|XM_052837150.1	LOC128171369
CA|XM_052837151.1	LOC128171354
CA|XM_052837152.1	LOC128171375
CA|XM_052837153.1	LOC128171267
CA|XM_052837154.1	LOC128171375
CA|XM_052837155.1	LOC128171376
CA|XM_052837156.1	LOC128171376
CA|XM_052837157.1	LOC128171376
CA|XM_052837158.1	LOC128171376
CA|XM_052837159.1	LOC128171377
CA|XM_052837160.1	LOC128171377
CA|XM_052837161.1	LOC128171377
CA|XM_052837162.1	LOC128171377
CA|XM_052837163.1	LOC128171267
CA|XM_052837164.1	LOC128171377
CA|XM_052837165.1	LOC128171377
CA|XM_052837166.1	LOC128171379
CA|XM_052837167.1	LOC128171380
CA|XM_052837168.1	LOC128171381
CA|XM_052837169.1	LOC128171381
CA|XM_052837170.1	LOC128171381
CA|XM_052837171.1	LOC128171267
CA|XM_052837172.1	LOC128171382
CA|XM_052837173.1	LOC128171382
CA|XM_052837174.1	LOC128171383
CA|XM_052837175.1	LOC128171383
CA|XM_052837176.1	LOC128171383
CA|XM_052837177.1	LOC128171384
CA|XM_052837178.1	LOC128171384
CA|XM_052837179.1	LOC128171267
CA|XM_052837180.1	LOC128171386
CA|XM_052837181.1	LOC128171387
CA|XM_052837182.1	LOC128171388
CA|XM_052837183.1	LOC128171389
CA|XM_052837184.1	LOC128171390
CA|XM_052837185.1	LOC128171391
CA|XM_052837186.1	LOC128171267
CA|XM_052837187.1	LOC128171392
CA|XM_052837188.1	LOC128171393
CA|XM_052837189.1	LOC128171393
CA|XM_052837190.1	LOC128171394
CA|XM_052837191.1	LOC128171395
CA|XM_052837192.1	LOC128171396
CA|XM_052837193.1	LOC128171397
CA|XM_052837194.1	LOC128171267
CA|XM_052837195.1	LOC128171398
CA|XM_052837196.1	LOC128171399
CA|XM_052837197.1	LOC128171400
CA|XM_052837198.1	LOC128171401
CA|XM_052837199.1	LOC128171402
CA|XM_052837200.1	LOC128171403
CA|XM_052837201.1	LOC128171267
CA|XM_052837202.1	LOC128171405
CA|XM_052837203.1	LOC128171407
CA|XM_052837204.1	LOC128171407
CA|XM_052837205.1	LOC128171409
CA|XM_052837206.1	LOC128171411
CA|XM_052837207.1	LOC128171411
CA|XM_052837208.1	LOC128171411
CA|XM_052837209.1	LOC128171267
CA|XM_052837210.1	LOC128171412
CA|XM_052837211.1	LOC128171413
CA|XM_052837212.1	LOC128171416
CA|XM_052837213.1	LOC128171417
CA|XM_052837214.1	LOC128171418
CA|XM_052837215.1	LOC128171267
CA|XM_052837216.1	LOC128171418
CA|XM_052837217.1	LOC128171419
CA|XM_052837218.1	LOC128171420
CA|XM_052837219.1	LOC128171422
CA|XM_052837220.1	LOC128171424
CA|XM_052837221.1	LOC128171354
CA|XM_052837222.1	LOC128171267
CA|XM_052837223.1	LOC128171425
CA|XM_052837224.1	LOC128171426
CA|XM_052837225.1	LOC128171427
CA|XM_052837226.1	LOC128171429
CA|XM_052837227.1	LOC128171430
CA|XM_052837228.1	LOC128171431
CA|XM_052837229.1	LOC128171431
CA|XM_052837230.1	LOC128171433
CA|XM_052837231.1	LOC128171434
CA|XM_052837232.1	LOC128171435
CA|XM_052837233.1	LOC128171438
CA|XM_052837234.1	LOC128171443
CA|XM_052837235.1	LOC128171446
CA|XM_052837236.1	LOC128171447
CA|XM_052837237.1	LOC128171450
CA|XM_052837238.1	LOC128171451
CA|XM_052837239.1	LOC128171449
CA|XM_052837240.1	LOC128171458
CA|XM_052837241.1	LOC128171460
CA|XM_052837242.1	LOC128171460
CA|XM_052837243.1	LOC128171475
CA|XM_052837244.1	LOC128171476
CA|XM_052837245.1	LOC128171478
CA|XM_052837246.1	LOC128171479
CA|XM_052837247.1	LOC128171480
CA|XM_052837248.1	LOC128171481
CA|XM_052837249.1	LOC128171483
CA|XM_052837250.1	LOC128171484
CA|XM_052837251.1	LOC128171482
CA|XM_052837252.1	LOC128171486
CA|XM_052837253.1	LOC128171487
CA|XM_052837254.1	LOC128171487
CA|XM_052837255.1	LOC128171488
CA|XM_052837256.1	LOC128171488
CA|XM_052837257.1	LOC128171491
CA|XM_052837258.1	LOC128171482
CA|XM_052837259.1	LOC128171492
CA|XM_052837260.1	LOC128171493
CA|XM_052837261.1	LOC128171493
CA|XM_052837262.1	LOC128171493
CA|XM_052837263.1	LOC128171494
CA|XM_052837264.1	LOC128171494
CA|XM_052837265.1	LOC128171494
CA|XM_052837266.1	LOC128171495
CA|XM_052837267.1	LOC128171496
CA|XM_052837268.1	LOC128171499
CA|XM_052837269.1	LOC128171500
CA|XM_052837270.1	LOC128171501
CA|XM_052837271.1	LOC128171501
CA|XM_052837272.1	LOC128171502
CA|XM_052837273.1	LOC128171502
CA|XM_052837274.1	LOC128171503
CA|XM_052837275.1	LOC128171504
CA|XM_052837276.1	LOC128171504
CA|XM_052837277.1	LOC128171504
CA|XM_052837278.1	LOC128171505
CA|XM_052837279.1	LOC128171505
CA|XM_052837280.1	LOC128171505
CA|XM_052837281.1	LOC128171506
CA|XM_052837282.1	LOC128171507
CA|XM_052837283.1	LOC128171508
CA|XM_052837284.1	LOC128171510
CA|XM_052837285.1	LOC128171510
CA|XM_052837286.1	LOC128171511
CA|XM_052837287.1	LOC128171511
CA|XM_052837288.1	LOC128171511
CA|XM_052837289.1	LOC128171512
CA|XM_052837290.1	LOC128171514
CA|XM_052837291.1	LOC128171515
CA|XM_052837292.1	LOC128171515
CA|XM_052837293.1	LOC128171513
CA|XM_052837294.1	LOC128171516
CA|XM_052837295.1	LOC128171517
CA|XM_052837296.1	LOC128171517
CA|XM_052837297.1	LOC128171518
CA|XM_052837298.1	LOC128171519
CA|XM_052837299.1	LOC128171520
CA|XM_052837300.1	LOC128171521
CA|XM_052837301.1	LOC128171523
CA|XM_052837302.1	LOC128171524
CA|XM_052837303.1	LOC128171497
CA|XM_052837304.1	LOC128171522
CA|XM_052837305.1	LOC128171526
CA|XM_052837306.1	LOC128171527
CA|XM_052837307.1	LOC128171528
CA|XM_052837308.1	LOC128171529
CA|XM_052837309.1	LOC128171530
CA|XM_052837310.1	LOC128171531
CA|XM_052837311.1	LOC128171532
CA|XM_052837312.1	LOC128171534
CA|XM_052837313.1	LOC128171535
CA|XM_052837314.1	LOC128171536
CA|XM_052837315.1	LOC128171537
CA|XM_052837316.1	LOC128171544
CA|XM_052837317.1	LOC128171544
CA|XM_052837318.1	LOC128171545
CA|XM_052837319.1	LOC128171542
CA|XM_052837320.1	LOC128171545
CA|XM_052837321.1	LOC128171545
CA|XM_052837322.1	LOC128171545
CA|XM_052837323.1	LOC128171545
CA|XM_052837324.1	LOC128171546
CA|XM_052837325.1	LOC128171546
CA|XM_052837326.1	LOC128171547
CA|XM_052837327.1	LOC128171548
CA|XM_052837328.1	LOC128171550
CA|XM_052837329.1	LOC128171550
CA|XM_052837330.1	LOC128171550
CA|XM_052837331.1	LOC128171550
CA|XM_052837332.1	LOC128171550
CA|XM_052837333.1	LOC128171551
CA|XM_052837334.1	LOC128171552
CA|XM_052837335.1	LOC128171552
CA|XM_052837336.1	LOC128171552
CA|XM_052837337.1	LOC128171552
CA|XM_052837338.1	LOC128171552
CA|XM_052837339.1	LOC128171552
CA|XM_052837340.1	LOC128171552
CA|XM_052837341.1	LOC128171552
CA|XM_052837342.1	LOC128171552
CA|XM_052837343.1	LOC128171555
CA|XM_052837344.1	LOC128171553
CA|XM_052837345.1	LOC128171556
CA|XM_052837346.1	LOC128171556
CA|XM_052837347.1	LOC128171557
CA|XM_052837348.1	LOC128171558
CA|XM_052837349.1	LOC128171561
CA|XM_052837350.1	LOC128171561
CA|XM_052837351.1	LOC128171553
CA|XM_052837352.1	LOC128171562
CA|XM_052837353.1	LOC128171562
CA|XM_052837354.1	LOC128171562
CA|XM_052837355.1	LOC128171563
CA|XM_052837356.1	LOC128171563
CA|XM_052837357.1	LOC128171564
CA|XM_052837358.1	LOC128171565
CA|XM_052837359.1	LOC128171553
CA|XM_052837360.1	LOC128171566
CA|XM_052837361.1	LOC128171567
CA|XM_052837362.1	LOC128171568
CA|XM_052837363.1	LOC128171569
CA|XM_052837364.1	LOC128171570
